feature,score
ZIMJ680104,0.4276047714154847
R,0.26371034712147157
K,0.237738336944594
shannon_entropy,0.1787942840897307
D,0.15564985935832046
percent_disoder,0.14450906695789972
AK,0.14134339971769294
W,0.11647995408371985
AR,0.11547138192411938
F,0.10694830125206067
L,0.09334382282124001
Y,0.09208647751295707
S,0.0749022522896693
C,0.06493969992517157
AF,0.06052452513471525
V,0.05668726873906077
AC,0.04658052651205836
AD,0.04608386378977117
AG,0.04276599940979807
AL,0.037621992287482996
AS,0.03655757240012903
N,0.03206734098477302
AH,0.03036586808532944
T,0.02891109000617477
H,0.02472040635009422
AN,0.023977585313281955
AQ,0.022930869500643283
AT,0.022632153256014906
A,0.02152367797495672
Q,0.020505711503769078
AM,0.018542472035312
AI,0.015917453322219412
AP,0.015594524419547265
G,0.009572012556484957
P,0.008496129506769281
X,0.008152582954515687
M,0.007960925975566758
AA,0.007289797573591351
U,0.0053578299082657046
AE,0.004942953258564575
I,0.0032493713080096035
Z,0.0027408044214383377
E,0.001507704250380719
AY,0.07455018051910695
AW,0.0625464652231316
CL,0.06134216281564887
DL,0.06624131094930362
DA,0.0607761627103991
DF,0.05769290393564631
DG,0.0573224039423727
DC,0.05585667695222384
CD,0.052563030562159004
CA,0.05144212953526551
DN,0.051243875924947585
DM,0.04790719231652641
DS,0.04752566389844639
DT,0.045920378939808666
DD,0.045882585223602425
DQ,0.04138627313477552
DI,0.04102861221227134
CH,0.038953877326767194
CV,0.03839642092750064
CS,0.037871399115858864
CM,0.0377344700901461
DE,0.036549849338341336
CW,0.03455028938086721
CN,0.03382795004214486
DH,0.03249770589806337
DP,0.03224517551549401
CT,0.03011354740541188
CC,0.029104939825176635
CP,0.02877274722156353
CQ,0.026939017052789886
CF,0.025537522459924304
AV,0.022683750068592464
CI,0.018701256913447487
CE,0.01850354594195213
CY,0.015323273143703681
CK,0.012474196629044877
CR,0.010808644188052241
AX,0.0038500817035013813
DR,0.0036132490650271627
CG,0.0028165850522232964
CX,0.0027408044214383078
DK,0.0002266299818921839
DY,0.07873473550404819
EK,0.07094426549449274
FS,0.06349294749486138
FF,0.06207783515431429
FR,0.058350554491336
FL,0.05214979763524928
FA,0.051483802544325226
EV,0.04906679170019511
FD,0.04840415773124353
EN,0.047565179463286526
FT,0.046524534111885396
DW,0.04634860357612063
ES,0.039101143063976954
EY,0.03909305783526066
EW,0.03575644542123555
EH,0.03557521702254435
FP,0.033507130559697826
FC,0.032860706246525866
FH,0.029675815921006734
FE,0.027736189782437994
EQ,0.026991118538764004
ET,0.025867418283153146
FG,0.02483560548358153
ER,0.024496552062232505
EL,0.022504563677588282
FM,0.021515983617236917
EP,0.01949784865466087
FQ,0.019478997498833184
FI,0.018848604801852284
FN,0.017064445496669984
EI,0.014844727719654664
EM,0.013168728184616849
ED,0.010430824273910113
EC,0.00948055371170974
EG,0.008483194668425086
EF,0.007726694490654742
EA,0.006167741229251046
DV,0.005757487932734968
EE,0.0056605264374779965
EX,0.0034757484041815358
DX,0.0030784480140568487
EZ,0.0027408044214383377
FU,0.002740804421438298
FK,0.0025016281575416426
GK,0.15103129224693257
GR,0.1404266538630324
HK,0.08497426678698139
GD,0.062077281571566174
GW,0.057137255512151854
GL,0.05521277877900054
HD,0.053006518263171695
GA,0.05081476865652181
GQ,0.04819650428795026
FW,0.043299271439840255
HR,0.04269892704417385
FY,0.04210716150666326
HE,0.03598160423621492
GY,0.035002506015122795
GC,0.02865981101393627
GS,0.028374966345293445
GT,0.028272167043427863
GG,0.028136210550806652
HS,0.02759771702670079
HA,0.024477178361699072
HL,0.0240255516884546
HQ,0.021424724169343618
HN,0.021161497261489078
GH,0.020813158728670914
GI,0.019504452323950074
HH,0.017819598304566187
HP,0.017672964499442154
HC,0.017489409806258988
HF,0.017247605344473237
FV,0.013940578954210223
GE,0.01386412660710026
HM,0.012481414612398638
GM,0.010061813495846235
GP,0.008250593249684038
GV,0.00792216085618544
GF,0.007607375714751889
GN,0.0035359400711344633
GX,0.003339097000665144
GU,0.0027408044214382817
FX,0.002740804421438277
HT,0.002672041488143278
HG,0.0011623862498288597
HI,0.00020711451348909293
KR,0.2182763920784869
KK,0.2045064349037136
KV,0.15555931311472265
KG,0.13670436732892566
KA,0.12647176002126786
IR,0.11334091336451185
KT,0.10703478810936581
KL,0.09202926781064019
IK,0.07912121321792304
KH,0.07648715683213687
KI,0.07370675325165485
KP,0.07302627159959758
KF,0.05948049110374127
KS,0.05438925795354678
KQ,0.054008390044467024
KN,0.05078052549601081
IF,0.05043445860841405
IG,0.04629524820591598
KE,0.03834209249397175
HW,0.03707356262789566
IC,0.03690357535638065
KM,0.03624057996048248
ID,0.030960365010949707
IA,0.029802062056319186
IL,0.02902733449906641
IE,0.02767999020806455
IS,0.026995295263137643
HY,0.026391429882829196
IW,0.02423301367038402
IH,0.019131121313854794
II,0.018364341938660222
IM,0.01745876476268109
IT,0.015322352271698127
HV,0.01413127129117637
IY,0.009451674165018908
IP,0.009252759291480549
HX,0.003646209769519464
KD,0.003190549018298094
KC,0.002825897953915124
IX,0.0027408044214383386
KU,0.0027408044214382913
IV,0.0017449230199099784
IN,0.001692412524702142
IQ,0.0015774641548618532
LD,0.0909365218275387
LR,0.07898537159863567
LL,0.07219672281093314
LF,0.07046903428068102
LS,0.05075747991429808
MP,0.061091291671572116
MA,0.05263394219531158
LY,0.043623584532420906
LT,0.043153177633178205
ML,0.04207607161469284
LA,0.0402293563941539
LG,0.0380576554023633
LI,0.036768732114330044
LK,0.03464101249890619
MC,0.032600641189843106
LW,0.032264827180200135
MR,0.03188057854674982
MF,0.03176674637432149
LC,0.03106915364588479
LV,0.028866983080106916
MT,0.028630722032799507
LQ,0.025421003036317075
LH,0.021873599043888074
KY,0.021208319058690573
MG,0.019958944089651445
MK,0.01808439926308685
LP,0.014885136336382745
MS,0.009534255139601816
MQ,0.007400877957320277
LE,0.00712138024454144
LM,0.006969600764314244
LN,0.0067939917270170335
ME,0.0065450925501845305
MI,0.005149938483821255
MD,0.003826222965585227
KX,0.002740804421438278
MH,0.002320359131209837
MN,0.001624077558582341
KW,0.0015903757875145176
MM,0.0014831006525046198
PK,0.10069209342215851
PR,0.09058602399617735
NK,0.08591968844191052
PD,0.06113237314643557
NR,0.05265206406123608
NL,0.04702915395590206
PA,0.04346351826843384
ND,0.04278350358884024
NF,0.039289297292374355
NH,0.03809510464623353
NY,0.03763823081953492
PC,0.03588573525276128
NG,0.03294348850003644
NS,0.03148064853633287
PT,0.030437038771587092
PF,0.02919467712824287
MY,0.02744219248575605
NC,0.02732778457481359
NE,0.025465516062743613
PN,0.02541450198371696
NI,0.02416034099814728
PP,0.02364526578581857
MW,0.023059906050836
NW,0.020646619111987362
PG,0.019660887109334547
PL,0.017985691016227164
NN,0.017355449061353206
MV,0.012539972301100996
PE,0.011601534291271183
PI,0.008961307147312638
PQ,0.008409584020638275
NP,0.00833036200275201
NT,0.005764780591348982
NQ,0.0038536949537424058
NV,0.003318985805627611
MX,0.0027408044214383416
NX,0.0027408044214383112
PU,0.0027408044214382934
PM,0.0022701323438715742
NM,0.0014404101833704313
PH,0.001171939171298934
PS,0.0011458834234969629
NA,5.9330627204969225e-05
RK,0.23447044991323793
RR,0.20206372895508495
RG,0.18940656332474778
RQ,0.0942283374782846
RT,0.08839966707036809
RH,0.07511743546954065
RI,0.0739464852079324
RN,0.07155482207558056
RL,0.06919695556876852
RA,0.06686955311289604
QR,0.06530756358248449
RS,0.060426846402611666
QK,0.057704932667558974
RE,0.055374917333434755
RP,0.04579678743752694
QW,0.04454599204659846
RF,0.03747337050422937
QD,0.033426328394424096
PW,0.029069923931123894
QV,0.02667123813471522
QS,0.025903116477711825
RM,0.0250562086542326
RD,0.024382034913420222
QF,0.02060782958356168
PY,0.01770485117933232
QI,0.016746913112011295
QQ,0.015785194659746288
QM,0.013195848066783717
QG,0.012140046189432586
QN,0.011514725434654653
QA,0.011415773918341966
QH,0.010062700347122104
PV,0.008427926988688505
QE,0.00778944753469442
QY,0.00566451153490853
QL,0.004763780503437868
QC,0.003445132843137612
RC,0.0034310108181361777
QT,0.0032871634893243597
PX,0.0030225061985519543
QX,0.002740804421438345
QP,0.0007816646154809121
RV,0.12131897208507236
SK,0.08074706006475628
TK,0.1163888064621143
TR,0.08030640858196979
SR,0.07796956382682994
SD,0.0693648774844168
TD,0.06267476455831311
SL,0.052434617227232395
RY,0.05226055041498034
SI,0.05156091494928937
SF,0.05013764447846873
SC,0.05011993913894392
SW,0.04970142659324374
SP,0.04880427144570326
TM,0.04408158534905642
SG,0.04014839283863895
TC,0.03925230390999812
SE,0.03867326911919633
TF,0.03412733889373662
ST,0.03337343627829199
SS,0.033190164761258384
SV,0.030962180851298305
SA,0.030347382473726245
TA,0.027479822743277014
SY,0.025539117626277863
TE,0.02461009608070638
SM,0.022316141875076037
TL,0.0220230556042832
TS,0.02171326320335456
TN,0.021463208416550222
SN,0.020933909720280676
SH,0.01457286459405305
TG,0.013404781982234545
TQ,0.012421600947241769
SQ,0.010253658515811514
TP,0.008936874860308459
TI,0.007103942547214858
RW,0.0059124920989903
RX,0.0038632059670464848
TT,0.0038080954655626874
SX,0.0037902764529796932
TH,0.0026146931239247346
VR,0.14759391628893928
VK,0.13724877364945226
VE,0.05939170068828447
TY,0.057885044699474676
TW,0.04693146236585015
VD,0.03759801665085684
VQ,0.03267614654454763
VS,0.02872642297525248
VM,0.02526538620795303
VF,0.022674106971874212
VC,0.017319228148818498
VG,0.015988156480398388
VI,0.012758538186184701
VL,0.012010772226529309
VT,0.008771791662366824
VP,0.00871571027914822
VA,0.007854727926407127
VH,0.005315090164118154
UH,0.003819290393430028
VU,0.003819290393430028
UI,0.002740804421438298
UL,0.0027408044214382934
UG,0.0027408044214382913
UA,0.0027408044214382817
VN,0.0011714122965439857
TV,0.00013290887254519966
WN,0.06077079365071664
WS,0.05789551213904016
WD,0.051317148505012004
WL,0.04771972544306713
WP,0.04727627502172003
VW,0.04645724548207999
WE,0.04495731637791779
WA,0.04495419919277431
WT,0.038187396461214
WG,0.03199601541454177
WC,0.02677974111383551
WR,0.022001029827550627
WW,0.038049526069046324
WV,0.028386952125759916
WF,0.027242164088629235
WI,0.027066971470435647
WM,0.026069904412978896
WH,0.02427269442067658
VV,0.02253042728002903
WK,0.021061066575669345
WQ,0.015188617637102983
VX,0.0031154849547526263
WY,0.02469566400850685
VY,0.008882750185216368
XG,0.004178463836535268
XS,0.004837699858088777
XP,0.0038476430633515263
XE,0.003646484286231552
XD,0.003495287639793812
XL,0.003398538294432704
XK,0.0031037647366398326
XM,0.0027408044214383637
XR,0.00274080442143835
XF,0.0027408044214383386
XQ,0.0027408044214383173
XH,0.0027408044214383164
XT,0.0027408044214383112
XA,0.0027408044214383086
XC,0.0027408044214383086
XI,0.002740804421438277
YS,0.07202038457127392
YF,0.059726352785986835
YP,0.057668256573488036
YL,0.05300018318655321
YM,0.03973332005641708
YD,0.03785100565152986
YN,0.030713820837697747
YG,0.03038796536051049
YW,0.03632947661062004
YR,0.03181653925085651
YE,0.03035906970181636
YY,0.02930416743102688
YQ,0.02758818031408008
YA,0.026499635862610015
YT,0.023009597939734682
YC,0.020478391532140313
YH,0.019104052494735395
YK,0.014976470403174562
YV,0.0049714275893922065
XY,0.003869007454314361
YX,0.00274080442143835
XV,0.002740804421438297
XX,0.0027408044214382765
YI,0.0014872533911526415
ZD,0.0027408044214383377
KLEP840101,0.3933283895368765
FAUJ880111,0.3711437045643698
WOLS870103,0.3381486642065943
EISD860102,0.3365665227396407
FINA910104,0.32371180487231566
FINA910103,0.3110482530286961
RADA880107,0.3098335120421021
FAUJ880109,0.2954269635528892
KIDA850101,0.2944814645809347
JACR890101,0.2935931847251631
GUYH850105,0.2865335687522452
JANJ790102,0.28460420846576945
KRIW790102,0.28186855164011865
CHOC760102,0.2817245789663905
EISD840101,0.28064403860806986
JANJ780101,0.2793052461337035
GUYH850104,0.2770203374455395
GUYH850101,0.27103267473697024
RADA880104,0.26991642203497107
OOBM850105,0.2687654944936077
LEVM760101,0.2630138432811224
NADH010102,0.2626304566360208
YUTK870103,0.26172869005067384
KRIW790101,0.2602259763627995
ROSM880102,0.26014042879425425
NADH010104,0.2595419863007641
NADH010103,0.25933953865373766
HUTJ700103,0.25846160918882277
COWR900101,0.2569026717288641
YUTK870104,0.2566254654946423
FAUJ830101,0.2562869005367834
KRIW710101,0.2512362043751811
RICJ880113,0.2500873709622044
JANJ780103,0.2492082622045705
HOPT810101,0.24783113651353936
FINA910101,0.24650731471289516
ENGD860101,0.24293119298496604
PRAM900101,0.2429124763551227
EISD860101,0.24240694140000138
FUKS010104,0.24194960587183353
SUEM840102,0.2372061955539024
RADA880105,0.23607313156181184
QIAN880127,0.23556957630257286
FASG890101,0.23344681240671367
WILM950103,0.232323672502326
PUNT030101,0.2322165839346183
WILM950101,0.22583446907537907
JANJ780102,0.22476706848911382
ROSM880105,0.2239094465087273
YUTK870102,0.22339639821794963
RADA880108,0.22309443929767647
MEIH800102,0.22280152849012125
ROSG850102,0.22256350015365725
MEEJ810102,0.2222993759062563
RADA880101,0.22163048444568642
RADA880102,0.2170627156354229
YUTK870101,0.21681856734788185
RACS770102,0.21630439797997364
BIOV880101,0.21377140023897623
VHEG790101,0.2131136520525478
ZHOH040103,0.21301753260024645
QIAN880101,0.2129675222966429
GUOD860101,0.2129324085823206
OOBM770101,0.21183061093334307
KARP850103,0.21002639092623818
MONM990101,0.20962810855007324
ROSM880101,0.20862967713150965
NAKH900106,0.20847939007655136
WEBA780101,0.20776721214634367
MIYS990105,0.20751722489150726
CHOP780205,0.2067716929315522
MIYS990103,0.20613348130378473
NAKH900110,0.2051657968496901
RICJ880108,0.205008908820684
ZIMJ680103,0.20475216628707493
WOLR790101,0.2046251570998955
BIOV880102,0.20453019297006725
AURR980104,0.20452791574417853
MIYS990104,0.20375940483223134
FUKS010101,0.20283913289734531
charge,0.2026168215267283
NADH010106,0.20085895460214526
g1.g5.g5,0.19905812580604773
WERD780103,0.19895054870320752
WOLR810101,0.1981359124036105
NAKH900104,0.1978330546193516
JURD980101,0.19782723650804568
OOBM770102,0.19719909726395096
FAUJ880104,0.19707838367781935
CHOC760103,0.19654778747030024
GARJ730101,0.19644090443828466
CASG920101,0.1958496082017461
RACS770103,0.19577141160119102
g5.g1.g5,0.19099810315183044
CEDJ970105,0.19070988194377156
HUTJ700102,0.19043739441564467
BAEK050101,0.18972190206300915
MEEJ800102,0.1895716184773066
DESM900102,0.18908334417816816
BLAS910101,0.1884609271025635
PONP800103,0.1867253513367144
GUYH850102,0.18574213787262311
